user_input,retrieved_contexts,response,reference,context_entity_recall
"""TC-001: Testing that BIM
 Resources' elements are 
working""",[],P1,"User should be redirected to the
 “BIM Resources page” upon clicking
 the BIM Resources button.",0.0
"TC-002: Checking valid
 Submission Validation
 with Pool And Spa",[],P1,"The user should be able to fill out all required fields with valid data and successfully submit the form. A confirmation or success message should appear, or the user should be redirected to a confirmation page (depending on the application’s design).",0.0
"TC-003: Heating and 
Cooling Page - Residential
: Text contains the header",[],P2,"The page should display the correct header text ( “Rheem Residential Heating and Cooling Products.”), confirming successful navigation.",0.0
TC-004: Broken Image Test,['Go to rheem.com Click on the Products button  Click on the Commercial button Click on the Project Sizing button Verify all images on the page are valid (no broken links or missing images)'],P2,All images on the Product Sizing page should load correctly without any broken or missing images,0.0
TC-005 : Navigate to the Commercial Product Sizing Page on the Rheem Website,[],P2 ,The user is successfully directed to the Commercial Product Sizing page. The click action on the “Product Sizing” link should be functional and responsive.,0.0
TC006: Verifying Privacy Policy Link,[],P1,"The Privacy Notice page opens
The URL of the page should be https://www.rheem.com/legal/
The page should display the heading ""Privacy Notice"" and the subheading ""Rheem Manufacturing Company Privacy Notice""",0.0
TC-007:Verify Page URL,[],P3,"URL should be
 ""https://www.rheem.com/
products/commercial/heating-and-
cooling/""",0.0
TC-008:Validate Image Links	,[],P3,All images should have valid links and correct sizes,0.0
TC-009:Verify Tankless Heater Link	,[],P1,Link should be visible and redirect correctly,0.0
TC-010:Verify Page Navigation	,[],P1,User should be redirected to Water Heating Page,0.0
TC-011:Broken Images Test	,[],P2,All images should be valid (not broken),0.0
TC-012:Validate Intro Text	,[],P2,Intro text should be correct,0.0
TC-013:Verify Contact Us Button	,[],P1,User should be redirected to the Contact Rheem page,0.0
 TC-014: Verify the title of the Water Heating Commercial page,[],P1,The title of the Water Heating Commercial page should be displayed correctly.,0.0
TC-015: Check the left panel products name Water Heating Commercial page,[],P1,All product names in the left panel should be correctly listed and match the expected values.,0.0
